generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,10267,Let,64,-0.016390057280659676
1,596,'s,65,0.0023609353229403496
2,1464, break,66,0.004411881789565086
3,433, it,67,-0.0054046111181378365
4,1523, down,68,0.015337048098444939
5,1473,":

",69,-0.01572928950190544
6,567,##,70,-0.013535000383853912
7,15166, Step,71,0.0008218244183808565
8,220, ,72,-0.002501883078366518
9,16,1,73,0.07242285460233688
10,25,:,74,-0.017700837925076485
11,31001, Determine,75,0.028516439720988274
12,279, the,76,0.08340363204479218
13,10687, locations,77,0.08718504756689072
14,315, of,78,0.028559334576129913
15,2006, IN,79,0.006895686965435743
16,96778,DEPEND,80,0.010371027514338493
17,10360,ENCE,81,0.031564731150865555
18,67384, PARK,82,0.0038900566287338734
19,323, and,83,0.007712789811193943
20,11659, PS,84,0.013490450568497181
21,220, ,85,0.010607107542455196
22,806,11,86,0.0092717120423913
23,4534, TH,87,0.0036643645726144314
24,1937,OM,88,0.05757701024413109
25,1950,AS,89,0.05279522389173508
26,423, D,90,0.011717954650521278
27,7691,ONG,91,0.006326646078377962
28,1111,AN,92,0.023651892319321632
29,198,"
",93,-0.00026156718377023935
30,1271,To,94,0.0103176049888134
31,4320, answer,95,0.03436918556690216
32,420, this,96,0.020149143412709236
33,3488, question,97,0.012786239385604858
34,11,",",98,-0.008359660394489765
35,584, we,99,0.009082899428904057
36,1176, first,100,0.012486175633966923
37,1205, need,101,0.0020448723807930946
38,311, to,102,0.0022878602612763643
39,5813, establish,103,0.03157795965671539
40,279, the,104,0.078230120241642
41,10687, locations,105,0.11116697639226913
42,315, of,106,0.03569066897034645
43,2225, both,107,0.0071119642816483974
44,2006, IN,108,0.005198254715651274
45,96778,DEPEND,109,0.009949635714292526
46,10360,ENCE,110,0.016390295699238777
47,67384, PARK,111,0.012762963771820068
48,323, and,112,0.003154782112687826
49,11659, PS,113,0.007773309014737606
50,220, ,114,0.005556249059736729
51,806,11,115,0.004808652214705944
52,4534, TH,116,0.0028586676344275475
53,1937,OM,117,-0.014765940606594086
54,1950,AS,118,0.1710866242647171
55,423, D,119,0.011745091527700424
56,7691,ONG,120,0.0009539895690977573
57,1111,AN,121,-0.0032969077583402395
58,389, on,122,0.011347910389304161
59,96406, Staten,123,0.026982968673110008
60,10951, Island,124,0.03705984354019165
61,13,.,125,0.008554056286811829
62,1115, This,126,0.02206934243440628
63,3094, step,127,0.0034140266943722963
64,18065, involves,128,0.0004284018650650978
65,25607, identifying,129,0.019567787647247314
66,872, their,130,0.08523149788379669
67,14564, addresses,131,0.10119692236185074
68,477, or,132,0.02456401102244854
69,54001, geographical,133,0.06602500379085541
70,10093, positions,134,0.060097020119428635
71,382,".

",135,0.059491485357284546
72,567,##,136,-0.00815274566411972
73,15166, Step,137,-0.0053450013510882854
74,220, ,138,0.0014791020657867193
75,17,2,139,0.015393693000078201
76,25,:,140,-0.007498025428503752
77,24702, Compare,141,0.06084968149662018
78,279, the,142,0.10217384994029999
79,10687, locations,143,0.14472277462482452
80,311, to,144,0.10790283232927322
81,8417, determine,145,0.09286373108625412
82,872, their,146,0.16371005773544312
83,8844, relative,147,0.17070633172988892
84,10093, positions,148,0.17901717126369476
85,198,"
",149,0.17468421161174774
86,12805,Once,150,0.029337448999285698
87,584, we,151,0.015010017901659012
88,617, have,152,0.0025759192649275064
89,279, the,153,0.017514435574412346
90,10687, locations,154,0.03997501730918884
91,11,",",155,-0.005421240348368883
92,584, we,156,0.027743343263864517
93,649, can,157,0.018149729818105698
94,9616, compare,158,0.024195728823542595
95,1124, them,159,0.05491472780704498
96,311, to,160,0.06086021661758423
97,8417, determine,161,0.023681513965129852
98,422, if,162,0.07068928331136703
99,2006, IN,163,0.043616801500320435
100,96778,DEPEND,164,0.013110845349729061
101,10360,ENCE,165,0.18977074325084686
102,67384, PARK,166,0.005958229303359985
103,374, is,167,0.11562269926071167
104,13118, indeed,168,0.24166345596313477
105,10007, south,169,0.1989448070526123
106,315, of,170,0.12838329374790192
107,11659, PS,171,0.019445063546299934
108,220, ,172,0.011069614440202713
109,806,11,173,0.009527143090963364
110,4534, TH,174,0.0030660051852464676
111,1937,OM,175,0.01863102987408638
112,1950,AS,176,0.06567467749118805
113,423, D,177,0.0044444771483540535
114,7691,ONG,178,-0.019158227369189262
115,1111,AN,179,-0.016628647223114967
116,13,.,180,0.024701254442334175
117,1115, This,181,0.048719942569732666
118,18065, involves,182,0.009745676070451736
119,8830, understanding,183,0.06663284450769424
120,279, the,184,0.14548173546791077
121,54242, geography,185,0.13443835079669952
122,315, of,186,0.049210719764232635
123,96406, Staten,187,0.04249610751867294
124,10951, Island,188,0.030704474076628685
125,323, and,189,0.0376133993268013
126,1268, how,190,0.05601038411259651
127,10687, locations,191,0.1152091920375824
128,527, are,192,0.10598419606685638
129,42208, oriented,193,0.1141623929142952
130,8844, relative,194,0.14317402243614197
131,311, to,195,0.05133073031902313
132,1855, each,196,0.17534440755844116
133,1023, other,197,0.07577373832464218
134,382,".

",198,0.18334373831748962
135,567,##,199,-0.006411411799490452
136,15166, Step,200,-0.01610041782259941
137,220, ,201,0.0027781629469245672
138,18,3,202,0.015453057363629341
139,25,:,203,-0.009588796645402908
140,21829, Consider,204,0.04734502732753754
141,279, the,205,0.11524344980716705
142,54242, geography,206,0.11915448307991028
143,315, of,207,0.04752761498093605
144,96406, Staten,208,0.04774791747331619
145,10951, Island,209,0.06930360943078995
146,198,"
",210,0.041538305580616
147,626,St,211,0.046934824436903
148,13827,aten,212,0.03196956589818001
149,10951, Island,213,0.04210592806339264
150,374, is,214,0.08326472342014313
151,832, one,215,0.10205753892660141
152,315, of,216,0.04188854247331619
153,279, the,217,0.023090260103344917
154,4330, five,218,0.04938272014260292
155,66841, borough,219,0.018028754740953445
156,82,s,220,0.0399351492524147
157,315, of,221,0.026612624526023865
158,1561, New,222,0.009653500281274319
159,4356, York,223,0.037253331393003464
160,4409, City,224,0.004959347192198038
161,11,",",225,0.040376484394073486
162,323, and,226,0.07514835894107819
163,433, it,227,0.06351195275783539
164,706, has,228,0.1127690002322197
165,264, a,229,0.0928739458322525
166,12742, distinct,230,0.10685541480779648
167,54242, geography,231,0.12097521126270294
168,449, with,232,0.07392575591802597
169,5370, various,233,0.11678854376077652
170,33100, neighborhoods,234,0.08587745577096939
171,323, and,235,0.11052082479000092
172,61024, landmarks,236,0.06306835263967514
173,13,.,237,0.09709744900465012
174,46551, Understanding,238,0.0731598511338234
175,279, the,239,0.09187678247690201
176,13218, island,240,0.1175561174750328
177,596,'s,241,0.09304901212453842
178,6932, layout,242,0.1237492486834526
179,323, and,243,0.04721830412745476
180,1268, how,244,0.11224247515201569
181,2204, different,245,0.13839034736156464
182,5789, areas,246,0.08659632503986359
