generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,67,0.02704169601202011
1,8417, determine,68,0.045811302959918976
2,422, if,69,0.06350356340408325
3,69359, BEL,70,0.06872905790805817
4,51,T,71,0.08296115696430206
5,6570, SH,72,0.03622816503047943
6,6005,ORE,73,0.04925701394677162
7,25864, PK,74,0.04180179536342621
8,54,W,75,0.03441048040986061
9,19333, BR,76,0.025701938197016716
10,75402, OV,77,0.042037349194288254
11,507, O,78,0.057559773325920105
12,2152,CE,79,0.06625420600175858
13,1111,AN,80,0.0437488816678524
14,25864, PK,81,0.08890894055366516
15,54,W,82,0.07275306433439255
16,56,Y,83,0.05093570426106453
17,11,",",84,0.05432312935590744
18,26832, Brooklyn,85,0.08484248071908951
19,374, is,86,0.07857697457075119
20,10007, south,87,0.08248388767242432
21,315, of,88,0.09445416182279587
22,426, B,89,0.09834198653697968
23,3097,AY,90,0.09481209516525269
24,88569, FAMILY,91,0.07778608798980713
25,67092, CENTER,92,0.0859406590461731
26,11,",",93,0.10718724131584167
27,26832, Brooklyn,94,0.07103005051612854
28,11,",",95,0.04303804039955139
29,584, we,96,0.039133500307798386
30,1205, need,97,0.0293248500674963
31,311, to,98,0.047883450984954834
32,5813, establish,99,0.07294595241546631
33,872, their,100,0.08845160901546478
34,10687, locations,101,0.09925622493028641
35,323, and,102,0.36662212014198303
36,9616, compare,103,0.09457431733608246
37,1124, them,104,0.11882927268743515
38,382,".

",105,0.09507924318313599
39,16,1,106,0.0401473268866539
40,13,.,107,0.010789856314659119
41,3146, **,108,0.08521269261837006
42,29401,Ident,109,0.08086708188056946
43,1463,ify,110,0.08782622218132019
44,42569, Locations,111,0.1191226914525032
45,96618,**:,112,0.3537440598011017
46,720," 
",113,0.055039115250110626
47,256,  ,114,0.012865833006799221
48,482, -,115,0.014344858936965466
49,69359, BEL,116,0.0812516063451767
50,51,T,117,0.06653206795454025
51,6570, SH,118,0.015092645771801472
52,6005,ORE,119,0.07312732934951782
53,25864, PK,120,0.0414351150393486
54,54,W,121,0.033511120826005936
55,19333, BR,122,0.044202644377946854
56,75402, OV,123,0.029146037995815277
57,507, O,124,0.054922718554735184
58,2152,CE,125,-0.009184250608086586
59,1111,AN,126,0.0002900073304772377
60,25864, PK,127,0.07470378279685974
61,54,W,128,0.06509564816951752
62,56,Y,129,0.025333687663078308
63,374, is,130,0.03549836203455925
64,264, a,131,0.06091899424791336
65,14497, bridge,132,0.04912503436207771
66,927, over,133,0.03184724599123001
67,22302, Ocean,134,0.024729885160923004
68,68253, Parkway,135,0.06652551144361496
69,304, in,136,0.0528932586312294
70,26832, Brooklyn,137,0.03933465853333473
71,13,.,138,0.06838355958461761
72,22302, Ocean,139,0.07904807478189468
73,68253, Parkway,140,0.09707236289978027
74,374, is,141,0.04507105052471161
75,264, a,142,0.037161264568567276
76,3682, major,143,0.03154974430799484
77,8761, street,144,0.040330104529857635
78,430, that,145,0.04025104269385338
79,8640, runs,146,0.050760798156261444
80,10411, north,147,0.03231769800186157
81,1355,-s,148,0.037212926894426346
82,2969,outh,149,0.05669650435447693
83,304, in,150,0.025083113461732864
84,26832, Brooklyn,151,0.019500339403748512
85,11,",",152,0.0526200607419014
86,323, and,153,0.033883411437273026
87,40073, bridges,154,0.052585262805223465
88,927, over,155,0.006996167823672295
89,433, it,156,0.029818641021847725
90,527, are,157,0.03854236379265785
91,961, part,158,0.0456237755715847
92,315, of,159,0.07877268642187119
93,279, the,160,0.03362229838967323
94,33993, Belt,161,0.004560823552310467
95,68253, Parkway,162,-0.004913716576993465
96,1887, system,163,0.01853993721306324
97,11,",",164,0.06658138334751129
98,902, which,165,0.03886323422193527
99,3289, enc,166,0.03608446568250656
100,75363,ircles,167,0.027601446956396103
101,26832, Brooklyn,168,0.024964017793536186
102,13,.,169,0.006414875388145447
103,1115, This,170,0.08050379902124405
104,13533, suggests,171,0.06106097251176834
105,430, that,172,0.07777980715036392
106,279, the,173,0.08861294388771057
107,14497, bridge,174,0.09220971912145615
108,374, is,175,0.039191894233226776
109,7559, located,176,0.05989101529121399
110,304, in,177,0.239834725856781
111,279, the,178,0.040795620530843735
112,18561, southern,179,0.03734497353434563
113,961, part,180,0.06261491775512695
114,315, of,181,0.07477033138275146
115,26832, Brooklyn,182,0.030740810558199883
116,627,".
",183,0.06712108850479126
117,256,  ,184,0.030409205704927444
118,482, -,185,0.005229597445577383
119,426, B,186,0.07958133518695831
120,3097,AY,187,0.09302117675542831
121,88569, FAMILY,188,0.050051961094141006
122,67092, CENTER,189,0.057436998933553696
123,11,",",190,0.11767082661390305
124,26832, Brooklyn,191,0.05418295040726662
125,11,",",192,0.06760922819375992
126,3250, doesn,193,0.06011427193880081
127,956,'t,194,0.04958069697022438
128,3493, provide,195,0.05397338792681694
129,459, an,196,0.08549759536981583
130,14247, immediate,197,0.07916267961263657
131,54001, geographical,198,0.0954311341047287
132,3813, location,199,0.15217283368110657
133,2085, without,200,0.33887264132499695
134,4726, further,201,0.09547767788171768
135,2317, context,202,0.0860552117228508
136,13,.,203,0.0995420515537262
137,4452, However,204,0.05351141467690468
138,11,",",205,0.06673768162727356
139,13126, considering,206,0.05459083244204521
140,4279, common,207,0.07153529673814774
141,36048, naming,208,0.05256354808807373
142,45593, conventions,209,0.07394473999738693
143,11,",",210,0.056992437690496445
144,433, it,211,0.05861879140138626
145,1436, could,212,0.06824690848588943
146,387, be,213,0.07377196848392487
147,5938, associated,214,0.0434807613492012
148,449, with,215,0.08255404233932495
149,264, a,216,0.025742661207914352
150,6246, park,217,0.05862823501229286
151,477, or,218,0.06053782254457474
152,37100, recreational,219,0.05955252796411514
153,3158, area,220,0.08300100266933441
154,11,",",221,0.11723660677671432
