generated_token_index,token_id,token_text,prediction_position,cosine_similarity
0,1271,To,74,0.031023934483528137
1,11886, solve,75,0.048322927206754684
2,420, this,76,0.0443631187081337
3,11,",",77,0.04554441571235657
4,358, I,78,0.04261881113052368
5,3358,'ll,79,0.038225822150707245
6,1205, need,80,0.030476251617074013
7,311, to,81,0.036747176200151443
8,1833, follow,82,0.04690997675061226
9,1521, these,83,0.03606302663683891
10,7504, steps,84,0.02998814918100834
11,1473,":

",85,0.02999296225607395
12,16,1,86,0.018534144386649132
13,13,.,87,0.022992469370365143
14,3146, **,88,0.0771126076579094
15,29401,Ident,89,0.07759865373373032
16,1463,ify,90,0.09697753936052322
17,279, the,91,0.11105182766914368
18,10687, locations,92,0.07523658871650696
19,96618,**:,93,0.38975775241851807
20,71994, Understand,94,0.05711929872632027
21,279, the,95,0.05967315286397934
22,5144, names,96,0.08295725286006927
23,315, of,97,0.08043430745601654
24,279, the,98,0.049771785736083984
25,10687, locations,99,0.05762188136577606
26,3984, provided,100,0.31016743183135986
27,25,:,101,0.08211816847324371
28,57184, UNITY,102,0.08247105777263641
29,10528, PL,103,0.062268421053886414
30,24476,AZ,104,0.08448991179466248
31,32,A,105,0.024411197751760483
32,220, ,106,0.06494898349046707
33,1114,17,107,0.058969758450984955
34,11,",",108,0.043172698467969894
35,1187,24,109,0.07483696192502975
36,11,",",110,0.04992121458053589
37,914,25,111,0.06199680641293526
38,32,A,112,0.05170527845621109
39,48797, BUILD,113,0.05440496653318405
40,1753,ING,114,0.0613633431494236
41,220, ,115,0.09366637468338013
42,17,2,116,0.11057619005441666
43,323, and,117,0.05169356241822243
44,5091, TR,118,0.09679364413022995
45,691,IN,119,0.0799463540315628
46,3414,ITY,120,0.0702681690454483
47,356, C,121,0.03040642850100994
48,7614,ME,122,0.03768104687333107
49,33497, METHOD,123,0.06081843376159668
50,3931,IST,124,0.04861246794462204
51,6969, CH,125,0.031781941652297974
52,1539,UR,126,0.03559267893433571
53,2198,CH,127,0.0017143720760941505
54,11,",",128,0.041726984083652496
55,2225, both,129,0.05355274677276611
56,304, in,130,0.06413223594427109
57,26832, Brooklyn,131,0.08142442256212234
58,382,".

",132,0.07488391548395157
59,17,2,133,0.0325097031891346
60,13,.,134,0.02520114928483963
61,3146, **,135,0.09774328768253326
62,10086,Find,136,0.10079723596572876
63,872, their,137,0.11589392274618149
64,14564, addresses,138,0.12826503813266754
65,96618,**:,139,0.16960035264492035
66,2057, To,140,0.043405432254076004
67,9616, compare,141,0.06725041568279266
68,872, their,142,0.08442787826061249
69,10687, locations,143,0.10055028647184372
70,11,",",144,0.3315794765949249
71,358, I,145,0.054859187453985214
72,1205, need,146,0.04363619163632393
73,872, their,147,0.056290898472070694
74,4839, exact,148,0.10245084762573242
75,14564, addresses,149,0.10948163270950317
76,13,.,150,0.12598900496959686
77,4452, However,151,0.04354140907526016
78,11,",",152,0.06138009950518608
79,279, the,153,0.04584979638457298
80,3488, question,154,0.055782124400138855
81,3250, doesn,155,0.07389465719461441
82,956,'t,156,0.07948619872331619
83,3493, provide,157,0.07210613787174225
84,1521, these,158,0.0876905620098114
85,13,.,159,0.07469408214092255
86,52783, Normally,160,0.047437164932489395
87,11,",",161,0.04538814723491669
88,358, I,162,0.038544826209545135
89,1053, would,163,0.026508083567023277
90,1427, look,164,0.0367068387567997
91,709, up,165,0.0751664936542511
92,279, the,166,0.07373225688934326
93,14564, addresses,167,0.08165547251701355
94,369, for,168,0.10622797161340714
95,57184, UNITY,169,0.06849434971809387
96,10528, PL,170,0.08293958753347397
97,24476,AZ,171,0.07922080904245377
98,32,A,172,0.03328613564372063
99,220, ,173,0.06338584423065186
100,1114,17,174,0.06868410110473633
101,11,",",175,0.04974663257598877
102,1187,24,176,0.06856068223714828
103,11,",",177,0.03544515371322632
104,914,25,178,0.07245062291622162
105,32,A,179,0.02563587576150894
106,48797, BUILD,180,0.03531651943922043
107,1753,ING,181,0.025742510333657265
108,220, ,182,0.0702880397439003
109,17,2,183,0.06633052974939346
110,323, and,184,0.028799790889024734
111,5091, TR,185,0.08291981369256973
112,691,IN,186,0.06649942696094513
113,3414,ITY,187,0.009323273785412312
114,356, C,188,0.06955010443925858
115,7614,ME,189,0.014970749616622925
116,33497, METHOD,190,0.06033691018819809
117,3931,IST,191,0.07558593153953552
118,6969, CH,192,0.03250650689005852
119,1539,UR,193,0.042160410434007645
120,2198,CH,194,-0.011574569158256054
121,304, in,195,0.03392820060253143
122,26832, Brooklyn,196,0.0420089066028595
123,311, to,197,0.0661831870675087
124,10570, proceed,198,0.06664074212312698
125,382,".

",199,0.027076343074440956
126,18,3,200,0.02530534565448761
127,13,.,201,0.01798289269208908
128,3146, **,202,0.08961369842290878
129,35,D,203,0.08878712356090546
130,25296,etermine,204,0.07555850595235825
131,872, their,205,0.09387151896953583
132,54001, geographical,206,0.12471002340316772
133,10093, positions,207,0.17622950673103333
134,96618,**:,208,0.24126677215099335
135,3161, With,209,0.07075031846761703
136,279, the,210,0.07805415242910385
